Source.Name,Column1,Department.Name,Strategic.Goal,Measure.Title,Measure.Description,Measure.Methodology,Measure.Data.Type,Fiscal.Year,End.Calendar.Year,Target,Mid.Year.Result,Mid.Year.Projection,Full.Year.Result,Data.Notes,post_covid,pre_covid
LegionOfHonor.csv,4063,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of Legion of Honor visitors,Number of visitors to the Legion of Honor.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2015-16,2016,350000,114757,350000,330227,,0,1
LegionOfHonor.csv,4064,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of Legion of Honor visitors,Number of visitors to the Legion of Honor.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2016-17,2017,350000,131193,380000,451392,,0,1
LegionOfHonor.csv,4065,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of Legion of Honor visitors,Number of visitors to the Legion of Honor.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2017-18,2018,500000,278472,380000,474857,,0,1
LegionOfHonor.csv,4066,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of Legion of Honor visitors,Number of visitors to the Legion of Honor.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2018-19,2019,400000,150836,400000,289135,,0,1
LegionOfHonor.csv,4067,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of Legion of Honor visitors,Number of visitors to the Legion of Honor.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2019-20,2020,325000,,,194085,,0,0
LegionOfHonor.csv,4068,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of Legion of Honor visitors,Number of visitors to the Legion of Honor.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2020-21,2021,350000,,56000,62602,,0,0
LegionOfHonor.csv,4069,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of Legion of Honor visitors,Number of visitors to the Legion of Honor.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2021-22,2022,265000,115200,225000,270735,,1,0
LegionOfHonor.csv,4070,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of Legion of Honor visitors,Number of visitors to the Legion of Honor.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2022-23,2023,200000,221472,200000,393362,Guo Pei extension and popularity,1,0
LegionOfHonor.csv,4071,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of Legion of Honor visitors,Number of visitors to the Legion of Honor.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2023-24,2024,300000,173770,300000,339772,No public data notes.,1,0
LegionOfHonor.csv,4072,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of Legion of Honor visitors,Number of visitors to the Legion of Honor.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2024-25,2025,300000,181464,300000,386862,Legion of Honor 100 celebrations contributed to the higher than expected attendance.,1,0
